NO_OF_SAMPLES	3000
TOT_NO_OF_CHAN	6
FREQUENCY	100.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2018-06-12, 12:03:29	3873.90348709
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Fx	Fy	Fz	Mx	My	Mz
CHANNEL_GAIN	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
0.002899	-0.010834	0.771038	0.027924	0.088045	0.003510	
0.001678	-0.011749	0.769207	0.027619	0.088350	0.002899	
0.001678	-0.012360	0.767987	0.027924	0.090181	0.003510	
0.003815	-0.011749	0.767071	0.028229	0.091707	0.002899	
0.002899	-0.012665	0.766461	0.027619	0.092317	0.002899	
0.002899	-0.012360	0.764935	0.026398	0.093538	0.003204	
0.002289	-0.011749	0.764019	0.029145	0.094453	0.003510	
0.003510	-0.012360	0.764324	0.027619	0.096284	0.002899	
0.004120	-0.012055	0.767987	0.027924	0.097200	0.003815	
0.005035	-0.012055	0.769818	0.027619	0.097505	0.005341	
0.004120	-0.012360	0.771038	0.027924	0.099336	0.005035	
0.004120	-0.011749	0.773175	0.027314	0.101472	0.005341	
0.001678	-0.011749	0.771038	0.025788	0.102388	0.006256	
0.000458	-0.010834	0.768902	0.027924	0.102693	0.005951	
-0.000153	-0.012055	0.769207	0.027619	0.103609	0.005341	
-0.000763	-0.011139	0.767681	0.028534	0.104829	0.006256	
-0.002289	-0.009003	0.766766	0.029450	0.105440	0.006256	
-0.002594	-0.009308	0.767987	0.029450	0.106661	0.006256	
-0.003815	-0.008698	0.766766	0.029145	0.107881	0.006867	
-0.003204	-0.009003	0.767987	0.029145	0.108797	0.006256	
-0.004730	-0.008698	0.766155	0.029450	0.109407	0.006256	
-0.004120	-0.007782	0.766766	0.029145	0.110933	0.007172	
-0.006256	-0.008698	0.766461	0.030060	0.112459	0.005951	
-0.005035	-0.008087	0.768597	0.030365	0.114900	0.005646	
-0.006561	-0.009003	0.770123	0.031586	0.115816	0.005646	
-0.006256	-0.008087	0.769818	0.030976	0.118563	0.006256	
-0.008087	-0.007782	0.770428	0.030060	0.120089	0.006256	
-0.007782	-0.008087	0.774090	0.030365	0.121614	0.006867	
-0.009308	-0.008087	0.774395	0.030976	0.122835	0.006256	
-0.009918	-0.007172	0.774701	0.029450	0.123140	0.005951	
-0.010224	-0.006561	0.772869	0.030365	0.124971	0.006256	
-0.009308	-0.006561	0.770428	0.031586	0.125887	0.006256	
-0.010224	-0.006561	0.768292	0.032197	0.125277	0.006867	
-0.009918	-0.006867	0.767681	0.032502	0.125887	0.005646	
-0.010224	-0.006256	0.767071	0.032502	0.126192	0.005646	
-0.010224	-0.007172	0.766155	0.033112	0.125887	0.005646	
-0.010224	-0.007172	0.765240	0.032502	0.125887	0.005341	
-0.010224	-0.006561	0.765240	0.030976	0.126802	0.005341	
-0.009918	-0.006561	0.765850	0.031891	0.126192	0.004425	
-0.010224	-0.005951	0.764935	0.031891	0.126802	0.004120	
-0.010224	-0.006561	0.765240	0.032197	0.126802	0.005035	
-0.010224	-0.007782	0.765850	0.031891	0.125887	0.002899	
-0.010224	-0.006561	0.766461	0.030976	0.127108	0.003815	
-0.010224	-0.008392	0.766461	0.031586	0.125887	0.003510	
-0.009918	-0.008392	0.767681	0.031586	0.125277	0.003815	
-0.010224	-0.007782	0.766155	0.031891	0.124971	0.003204	
-0.010224	-0.007782	0.767681	0.031586	0.124056	0.002899	
-0.009308	-0.008087	0.766766	0.030976	0.122530	0.003510	
-0.009003	-0.007172	0.765240	0.031586	0.119173	0.002899	
-0.008698	-0.005951	0.764935	0.031281	0.118868	0.002899	
-0.006867	-0.006561	0.764935	0.031891	0.117037	0.002289	
-0.007172	-0.005951	0.764630	0.031586	0.114595	0.001678	
-0.005951	-0.006256	0.766461	0.031891	0.110933	0.002899	
-0.005035	-0.006561	0.765240	0.032502	0.108797	0.002289	
-0.003204	-0.005035	0.764630	0.034028	0.104524	0.002899	
-0.002289	-0.005951	0.768292	0.033112	0.102998	0.002289	
-0.002289	-0.005035	0.767681	0.034333	0.100862	0.003204	
-0.000763	-0.005035	0.768597	0.035859	0.097505	0.002289	
-0.000153	-0.004730	0.769207	0.035859	0.095674	0.003204	
-0.000153	-0.003815	0.770123	0.036164	0.093233	0.003204	
0.001678	-0.003204	0.770123	0.037690	0.091402	0.002289	
0.002289	-0.004425	0.771038	0.038911	0.088960	0.002289	
0.003510	-0.003815	0.771954	0.038911	0.087129	0.003204	
0.004120	-0.004730	0.772259	0.039521	0.084688	0.003204	
0.005035	-0.003815	0.769818	0.039826	0.082246	0.003204	
0.005035	-0.003815	0.770123	0.040131	0.080415	0.001678	
0.005035	-0.004120	0.768597	0.040131	0.079499	0.002289	
0.005951	-0.002289	0.768292	0.040436	0.077058	0.002899	
0.005646	-0.002899	0.767987	0.040131	0.077363	0.003204	
0.006256	-0.004425	0.767987	0.040436	0.076753	0.002899	
0.006561	-0.003204	0.766155	0.039826	0.074922	0.002899	
0.005341	-0.002899	0.766766	0.040131	0.074006	0.002899	
0.005646	-0.003204	0.766766	0.040131	0.073091	0.003204	
0.007172	-0.002289	0.767987	0.041047	0.072175	0.003204	
0.006256	-0.002899	0.768902	0.040131	0.071260	0.003510	
0.005951	-0.003204	0.768902	0.041047	0.068208	0.003204	
0.005646	-0.003204	0.768597	0.040131	0.067292	0.003815	
0.006256	-0.003815	0.770123	0.039826	0.066072	0.003204	
0.005646	-0.002594	0.768597	0.039216	0.064546	0.003510	
0.007477	-0.003815	0.769818	0.039216	0.061799	0.003204	
0.007477	-0.004730	0.768902	0.039216	0.059968	0.003204	
0.007782	-0.004730	0.768902	0.038911	0.057221	0.002899	
0.007782	-0.005951	0.768597	0.039521	0.055695	0.001984	
0.009308	-0.005646	0.768292	0.038300	0.053864	0.002899	
0.009308	-0.004730	0.768292	0.037385	0.051118	0.002899	
0.010224	-0.005035	0.769818	0.037690	0.049897	0.003815	
0.009003	-0.004425	0.766766	0.037690	0.048066	0.003510	
0.009918	-0.005035	0.768902	0.036164	0.045930	0.003510	
0.009918	-0.002899	0.767987	0.035554	0.045624	0.004425	
0.010224	-0.006256	0.769207	0.035554	0.044099	0.003510	
0.011444	-0.005951	0.769207	0.035859	0.042878	0.003510	
0.009918	-0.005035	0.768292	0.034943	0.043488	0.003510	
0.010224	-0.006561	0.766766	0.034943	0.043488	0.003815	
0.010529	-0.005951	0.768902	0.034333	0.042878	0.003815	
0.009918	-0.006256	0.768902	0.033417	0.044099	0.003510	
0.008392	-0.006561	0.767987	0.034333	0.044404	0.003815	
0.009003	-0.008087	0.770123	0.034333	0.046235	0.003510	
0.009918	-0.008392	0.770123	0.033417	0.047761	0.003510	
0.009003	-0.008698	0.768902	0.032197	0.048676	0.004425	
0.008392	-0.008698	0.767987	0.031586	0.050813	0.004120	
0.008392	-0.008698	0.770428	0.031891	0.052644	0.005035	
0.008087	-0.009308	0.769207	0.031586	0.053559	0.003815	
0.007172	-0.008392	0.767681	0.029755	0.056001	0.005035	
0.007477	-0.009308	0.770428	0.029755	0.056611	0.004425	
0.007782	-0.010834	0.769207	0.028229	0.059052	0.005035	
0.007782	-0.011139	0.769207	0.027619	0.060273	0.005341	
0.007477	-0.011749	0.769207	0.027314	0.061189	0.005341	
0.007172	-0.013275	0.770123	0.026398	0.062715	0.005341	
0.007172	-0.012055	0.770428	0.026398	0.063325	0.005951	
0.004120	-0.012055	0.767987	0.025483	0.066072	0.005951	
0.002899	-0.012665	0.768292	0.025788	0.066987	0.005035	
0.001373	-0.011749	0.768292	0.025483	0.068513	0.005646	
0.000458	-0.012360	0.767987	0.026398	0.070649	0.005341	
-0.002594	-0.012055	0.767987	0.025483	0.071870	0.005646	
-0.004120	-0.010834	0.767987	0.025483	0.073396	0.005951	
-0.005646	-0.011139	0.767681	0.024872	0.074311	0.005341	
-0.006867	-0.011749	0.766766	0.024262	0.076143	0.004425	
-0.006561	-0.011749	0.767071	0.025788	0.074311	0.005035	
-0.007172	-0.009308	0.766155	0.025788	0.075532	0.003815	
-0.006561	-0.010529	0.766766	0.026093	0.076448	0.004120	
-0.006561	-0.010224	0.766155	0.027008	0.075227	0.003204	
-0.005951	-0.009003	0.765240	0.027619	0.074311	0.003204	
-0.005035	-0.008087	0.766461	0.028534	0.071260	0.003815	
-0.004425	-0.009003	0.766461	0.028534	0.070344	0.003204	
-0.003204	-0.007782	0.766766	0.027619	0.069123	0.001984	
-0.002289	-0.006561	0.767681	0.028534	0.066682	0.002899	
-0.002289	-0.006561	0.767987	0.029145	0.064240	0.001984	
0.000458	-0.006561	0.768902	0.030060	0.061189	0.002289	
0.001068	-0.006561	0.767681	0.030365	0.057832	0.002289	
0.002899	-0.007172	0.768597	0.030060	0.055085	0.002899	
0.003204	-0.005951	0.769818	0.031891	0.050813	0.001984	
0.005035	-0.005035	0.767987	0.033417	0.047761	0.001984	
0.006256	-0.005951	0.769818	0.033417	0.045624	0.001373	
0.006561	-0.004730	0.769207	0.034333	0.043488	0.002289	
0.007477	-0.005035	0.767987	0.034943	0.041962	0.001984	
0.007172	-0.003204	0.768292	0.036164	0.038911	0.001984	
0.007172	-0.004425	0.769207	0.035859	0.037690	0.003204	
0.007477	-0.003815	0.767987	0.036164	0.038300	0.001984	
0.007172	-0.004730	0.769818	0.037995	0.036774	0.002289	
0.005646	-0.003204	0.768292	0.039216	0.035554	0.003204	
0.006256	-0.002594	0.768292	0.039216	0.034638	0.004120	
0.007172	-0.002594	0.768597	0.040131	0.034028	0.003815	
0.005951	-0.002289	0.769207	0.041047	0.034638	0.003815	
0.007172	-0.002289	0.767681	0.043183	0.033417	0.004425	
0.007172	-0.001984	0.769207	0.042573	0.033722	0.005035	
0.007172	-0.002289	0.768902	0.042573	0.032502	0.006256	
0.008392	-0.001678	0.767987	0.043793	0.031281	0.004425	
0.008392	-0.002594	0.768902	0.043793	0.030671	0.003510	
0.009918	-0.002289	0.768902	0.044404	0.030671	0.004425	
0.010224	-0.001678	0.767681	0.043793	0.030060	0.003510	
0.010224	-0.001678	0.766155	0.043793	0.030060	0.003815	
0.010224	-0.000763	0.767681	0.043183	0.029755	0.003204	
0.011139	-0.001678	0.767987	0.043183	0.029755	0.002899	
0.010224	-0.001984	0.768292	0.043183	0.030060	0.002899	
0.010529	-0.002899	0.768902	0.041657	0.030060	0.002899	
0.010529	-0.003815	0.767681	0.041352	0.031281	0.002899	
0.009308	-0.002594	0.767681	0.041047	0.032807	0.003204	
0.008392	-0.003204	0.768292	0.040131	0.031891	0.003204	
0.007172	-0.003815	0.768597	0.039521	0.032502	0.003510	
0.007477	-0.002899	0.769207	0.040131	0.032502	0.003204	
0.007477	-0.003204	0.770428	0.039521	0.033417	0.003204	
0.006256	-0.003815	0.769207	0.039521	0.033417	0.003510	
0.005951	-0.003815	0.768902	0.038911	0.033722	0.003510	
0.007172	-0.003815	0.769818	0.037690	0.032502	0.002289	
0.005646	-0.002594	0.769207	0.037385	0.031586	0.003815	
0.007172	-0.005035	0.769207	0.038300	0.030671	0.002899	
0.006256	-0.003815	0.770123	0.038911	0.030671	0.002899	
0.007172	-0.004425	0.769207	0.038300	0.028840	0.002289	
0.008392	-0.003815	0.769207	0.038300	0.028229	0.003204	
0.008392	-0.003204	0.769818	0.038911	0.028229	0.003510	
0.008392	-0.002899	0.770123	0.039826	0.026398	0.003510	
0.009308	-0.004730	0.769818	0.039216	0.027314	0.003510	
0.009918	-0.004730	0.769818	0.039216	0.026398	0.003815	
0.008392	-0.003204	0.768902	0.039521	0.026093	0.002899	
0.009003	-0.003204	0.768292	0.037690	0.026703	0.003204	
0.009613	-0.003815	0.767987	0.037995	0.027924	0.003815	
0.007477	-0.003204	0.766766	0.037995	0.028840	0.003204	
0.009308	-0.005035	0.768292	0.037690	0.029755	0.002289	
0.008392	-0.004730	0.767071	0.036469	0.030060	0.003510	
0.007172	-0.005035	0.766766	0.036469	0.030365	0.003510	
0.007172	-0.005035	0.766155	0.036469	0.031281	0.003510	
0.007172	-0.005951	0.766766	0.035859	0.032502	0.003510	
0.005646	-0.005951	0.767681	0.035248	0.034333	0.002899	
0.007172	-0.006256	0.768292	0.034943	0.036469	0.003204	
0.005035	-0.005951	0.767681	0.034943	0.037995	0.002899	
0.003204	-0.005951	0.767987	0.033417	0.039521	0.003204	
0.001984	-0.006561	0.768902	0.032502	0.042573	0.003510	
0.001373	-0.006561	0.768902	0.032197	0.044709	0.003510	
0.001068	-0.008087	0.767987	0.033112	0.046235	0.003204	
0.000153	-0.006561	0.768597	0.032197	0.048371	0.003815	
-0.000153	-0.008698	0.768902	0.032197	0.049897	0.003815	
-0.000153	-0.007782	0.768292	0.031586	0.050813	0.004120	
-0.001678	-0.007172	0.768902	0.030365	0.052644	0.003815	
-0.000458	-0.007782	0.769818	0.031586	0.054170	0.003815	
-0.002289	-0.007782	0.769207	0.031891	0.054170	0.003815	
-0.003204	-0.006256	0.768902	0.031586	0.054170	0.003510	
-0.002594	-0.006561	0.770428	0.030976	0.055085	0.003510	
-0.002594	-0.006256	0.768902	0.031586	0.055695	0.003815	
-0.001678	-0.005035	0.769818	0.030976	0.055695	0.002899	
-0.002594	-0.003815	0.766766	0.031891	0.054170	0.003510	
-0.001068	-0.005035	0.767987	0.030976	0.055695	0.003815	
-0.001678	-0.005951	0.768292	0.030365	0.054170	0.003815	
-0.000458	-0.005951	0.768292	0.029450	0.054475	0.003815	
-0.000763	-0.006256	0.768292	0.029755	0.054475	0.003815	
-0.000153	-0.006256	0.768292	0.028534	0.055695	0.003815	
-0.000153	-0.006561	0.770123	0.026398	0.055695	0.003510	
-0.000458	-0.007172	0.768292	0.028229	0.054475	0.003815	
0.000153	-0.007172	0.768902	0.027008	0.054475	0.003815	
-0.000153	-0.007172	0.768902	0.025483	0.055695	0.004120	
-0.001068	-0.007172	0.767681	0.025483	0.054780	0.003510	
0.000458	-0.007782	0.770733	0.025788	0.054170	0.003510	
-0.001984	-0.008392	0.770428	0.024262	0.054170	0.003204	
-0.000458	-0.009308	0.768597	0.024872	0.054780	0.003510	
-0.002289	-0.007782	0.770123	0.023957	0.054780	0.003510	
-0.001984	-0.009003	0.768902	0.022431	0.055695	0.003204	
-0.001984	-0.007782	0.768902	0.021820	0.054475	0.003204	
-0.001068	-0.008392	0.768292	0.022431	0.053864	0.003204	
-0.002289	-0.008392	0.769207	0.023651	0.053559	0.003510	
-0.003815	-0.008392	0.768597	0.022431	0.053864	0.003510	
-0.002594	-0.008087	0.768292	0.022126	0.054475	0.003510	
-0.002289	-0.009003	0.769818	0.023041	0.053864	0.002899	
-0.001678	-0.008698	0.767987	0.023041	0.051728	0.003510	
-0.001678	-0.008698	0.768902	0.022431	0.051728	0.003815	
-0.002289	-0.009003	0.768597	0.021820	0.049897	0.004425	
-0.002899	-0.008698	0.767987	0.023041	0.050202	0.005035	
-0.001678	-0.008698	0.767987	0.022126	0.048371	0.003815	
-0.000763	-0.009003	0.766155	0.021820	0.047456	0.004120	
0.001373	-0.009308	0.767987	0.022431	0.044709	0.003510	
